𠀋	U+2000B
𥽜	U+25F5C
𥿠	U+25FE0
𥿔	U+25FD4
𦀌	U+2600C
𥿻	U+25FFB
𦀗	U+26017
𦁠	U+26060
𦃭	U+260ED
𦉰	U+26270
𦊆	U+26286
𦍌	U+2634C
𣴎	U+23D0E
𦐂	U+26402
𦙾	U+2667E
𦚰	U+266B0
𦜝	U+2671D
𦣝	U+268DD
𦣪	U+268EA
𦥑	U+26951
𦥯	U+2696F
𦧝	U+269DD
𦨞	U+26A1E
𦩘	U+26A58
𦪌	U+26A8C
𦪷	U+26AB7
𦱳	U+26C73
𦳝	U+26CDD
𦹥	U+26E65
𦾔	U+26F94
𦿸	U+26FF8
𦿶	U+26FF6
𦿷	U+26FF7
𧄍	U+2710D
𧄹	U+27139
𧏛	U+273DB
𧏚	U+273DA
𧏾	U+273FE
𧐐	U+27410
𧑉	U+27449
𧘕	U+27615
𧘔	U+27614
𧘱	U+27631
𧚓	U+27693
𧜎	U+2770E
𧜣	U+27723
𧝒	U+27752
𧦅	U+27985
𧪄	U+27A84
𧮳	U+27BB3
𧮾	U+27BBE
𧯇	U+27BC7
𧲸	U+27CB8
𧶠	U+27DA0
𧸐	U+27E10
𧾷	U+27FB7
𨂊	U+2808A
𨂻	U+280BB
𨊂	U+28282
𨋳	U+282F3
𨐌	U+2840C
𨑕	U+28455
𨕫	U+2856B
𨗈	U+285C8
𨗉	U+285C9
𨛗	U+286D7
𨛺	U+286FA
𨥉	U+28949
𨥆	U+28946
𨥫	U+2896B
𨦇	U+28987
𨦈	U+28988
𨦺	U+289BA
𨦻	U+289BB
𨨞	U+28A1E
𨨩	U+28A29
𨩱	U+28A71
𨩃	U+28A43
𨪙	U+28A99
𨫍	U+28ACD
𨫤	U+28AE4
𨫝	U+28ADD
𨯁	U+28BC1
𨯯	U+28BEF
𨴐	U+28D10
𨵱	U+28D71
𨷻	U+28DFB
𨸟	U+28E1F
𨸶	U+28E36
𨺉	U+28E89
𨻫	U+28EEB
𨼲	U+28F32
𨿸	U+28FF8
𩊠	U+292A0
𩊱	U+292B1
𩒐	U+29490
𩗏	U+295CF
𩙿	U+2967F
𩛰	U+296F0
𩜙	U+29719
𩝐	U+29750
𩣆	U+298C6
𩩲	U+29A72
𩷛	U+29DDB
𩸽	U+29E3D
𩸕	U+29E15
𩺊	U+29E8A
𩹉	U+29E49
𩻄	U+29EC4
𩻩	U+29EE9
𩻛	U+29EDB
𩿎	U+29FCE
𪀯	U+2A02F
𪀚	U+2A01A
𪃹	U+2A0F9
𪂂	U+2A082
𢈘	U+22218
𪎌	U+2A38C
𪐷	U+2A437
𪗱	U+2A5F1
𪘂	U+2A602
𪘚	U+2A61A
𪚲	U+2A6B2
